"ID","Project ID","Project Name","Key ID","Key","Issue Type ID","Issue Type","Category ID","Category Name","Subject","Description","Status ID","Status","Resolution ID","Resolution","Assignee ID","Assignee","Create User ID","Created by","Created Date","Due date","Update User ID","Updated by","Updated","Attachment","Shared File"
"3645563","68322","ATM Project","31","ATM_1-31","292600","Bug","92402","Withdrawals","Missing $ in withdrawal window V1.1","For the $60 option, it is missing the $ sign.","1","Open","","","319775","LAB1-5","319775","LAB1-5","Jan. 24, 2022 20:09","","319775","LAB1-5","Jan. 24, 2022 20:20","0","0"
"3641073","68322","ATM Project","7","ATM_1-7","292600","Bug","92400,92402,92403","Deposits,Withdrawals,Transfers","Invalid account type V1.0","When opening all three of: Withdrawal, Deposit, and Transfer, all three account types appear, despite the cards not having some of those accounts. Only valid account types should be shown. \\nNow says invalid account.","3","Resolved","","","319775","LAB1-5","319775","LAB1-5","Jan. 22, 2022 19:08","","319775","LAB1-5","Jan. 24, 2022 20:19","0","0"
"3641074","68322","ATM Project","8","ATM_1-8","292600","Bug","92404","Balance Inquiry","Balance inquiry V1.1","When checking balance from Balance inquiry, the wrong card number is display. Reads: ""Card 2"" when ATM is accessed through card #1.","2","In Progress","","","319775","LAB1-5","319775","LAB1-5","Jan. 22, 2022 19:13","","319775","LAB1-5","Jan. 24, 2022 20:18","0","0"
"3641078","68322","ATM Project","10","ATM_1-10","292600","Bug","92400","Deposits","Depositing bug -MTF & ET V1.0","Depositing any amount of money will subtract $10 from the total balance of the account (the correct amount will be added). The result is that a $5 deposit will decrease the total balance of an account by $5.\\n\\nNow subtracts $0.10. ","3","Resolved","","","319775","LAB1-5","319775","LAB1-5","Jan. 22, 2022 19:26","","319775","LAB1-5","Jan. 24, 2022 20:17","0","0"
"3641081","68322","ATM Project","11","ATM_1-11","292600","Bug","92405","General System","Invalid Card V1.0","Entering an invalid card and then any pin will brick the system. Requiring a restart of the machine. An invalid card should be recognized and rejected.","3","Resolved","","","319775","LAB1-5","319775","LAB1-5","Jan. 22, 2022 19:32","","319775","LAB1-5","Jan. 24, 2022 20:14","0","0"
"3641082","68322","ATM Project","12","ATM_1-12","292600","Bug","92405","General System","Invalid PIN V1.1","Entering an invalid PIN asks user to re-enter PIN and press enter, if you do, you will then be returned to the normal enter PIN screen, requiring you to enter the PIN again. You should be admitted the first time you enter the correct PIN. ","2","In Progress","","","319775","LAB1-5","319775","LAB1-5","Jan. 22, 2022 19:35","","319775","LAB1-5","Jan. 24, 2022 20:13","0","0"
"3641084","68322","ATM Project","13","ATM_1-13","292600","Bug","92402","Withdrawals","Withdrawal System bug V1.1","Pressing in invalid button does not do nothing instead:\\n(invalid button) -> withdraw $20 (Without checking balance -> can dispense even if account has $0) \\n\\n","2","In Progress","","","319775","LAB1-5","319775","LAB1-5","Jan. 22, 2022 19:38","","319775","LAB1-5","Jan. 24, 2022 20:12","0","0"
"3641090","68322","ATM Project","17","ATM_1-17","292600","Bug","92404","Balance Inquiry","Invalid account Inquiry V1.0","When selecting the invalid account for balance inquiry, an message ""Unknown error"" is displayed and $500 are dispensed.","3","Resolved","","","319775","LAB1-5","319775","LAB1-5","Jan. 22, 2022 20:11","","319775","LAB1-5","Jan. 24, 2022 20:07","0","0"
"3641434","68322","ATM Project","30","ATM_1-30","292600","Bug","92404","Balance Inquiry","Balance inquiry V1.1","* Bug is still present in V1.1 but displays the correct acount as option num 2.\\n\\nWhen submitting balance inquiry for Money market acount, $500 is taken out, Displays ""Unknown Erorr"" and gives the correct balance inquiry of Savings acount as user doesnt have a Money market acount (not including $500 taken out).\\n\\nInitial state: Choosing which acount to inquire about on acount with a checkings and savings.\\n\\nSteps to reproduce: Choose to inquire about the second option on the screen.\\n\\nExpected Outcome: Screen prints the correct inquiry and asks user if they would like to perform another transaction.\\n\\nActual Outcome: Machine gives $500 out and displays ""unknown error"" then displays the acount inquiry.","1","Open","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 14:25","","319775","LAB1-5","Jan. 23, 2022 14:25","0","0"
"3641432","68322","ATM Project","29","ATM_1-29","292600","Bug","92401","Account Inquiry","Balance inquiry V1.0","When submitting balance inquiry for Money market acount, $500 is taken out, Displays ""Unknown Erorr"" and gives the correct balance inquiry of Savings acount as user doesnt have a Money market acount (not including $500 taken out).\\n\\nInitial state: Choosing which acount to inquire about on acount with a checkings and savings.\\n\\nSteps to reproduce: Choose to inquire about the second option on the screen.\\n\\nExpected Outcome: Screen prints the correct inquiry and asks user if they would like to perform another transaction.\\n\\nActual Outcome: Machine gives $500 out and displays ""unknown error"" then displays the acount inquiry.","1","Open","","","319789","nicholas.knapton","319775","LAB1-5","Jan. 23, 2022 14:23","","319775","LAB1-5","Jan. 23, 2022 14:23","0","0"
